actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON Y COSECHA DE PINA PLATANO AJI GUAMA CANA LIMONES,31405
Trabajando,,,,,No,SERVICIO DE CUIDADOS A ENFERMOS,31406
Trabajando,,,,,No,CRIA DE VACA LECHERA Y VENTA DE LECHE Y QUESO,31407
Oficios del hogar,Sí,,,,No,SERVICIO DE EDUCACION BASICA PRIMARIA,31408
Trabajando,,,,,No,CULTIVO Y VENTA DE CAFE Y YUCA,31409
Trabajando,,,,,No,LA PRODUCCION DE SUS PARCELAS LA VENDE EN EL PUEBLO Y LA LECHE LA VENDE PARA LA PRODUCCION DE QUESOS Y YOGURTH,31410
Trabajando,,,,,No,VENTA INFORMAL DE GASOLINA,31411
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE CASABE MANOCO COSECHA DE PINA GUAMA AJI LIMONES MARANON PLATANO TEMARE,31412
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON COSECHA DE PLATANO PINA GUAMA AJI LIMON LULO MARANON CANA,31413
Otra actividad ¿cuál?,No,Sí,,,No,DESMONTE Y ARREGLO DE CERCAS POR DIAS,31414
Trabajando,,,,,No,LIMPIA DE POTREROS Y CULTIVOS CON GUADANA  BOMBA DE ESPALDA  O MACHETE,31415
Trabajando,,,,,No,ASOCIACION DE TURISMO EN LA VEREDA CERRO AZUL,31416
Trabajando,,,,,No,PRESTAMO DE DINERO A UNA PERSONA EN UN PLAZO DETERMINADO GENERALMENTE CON INTERESES,31417
Trabajando,,,,,Sí,OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO NCP,31418
Trabajando,,,,,No,VENTA DE DESAYUNOS ALMUERZOS Y CENA,31419
Trabajando,,,,,No,PROPIETARIO Y ADMINISTRADOR DE FINCA GANADERA,31420
Oficios del hogar,Sí,,,,No,ELABORACION Y  VENTA DE HIELOS,31421
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE COSECHA DE PINA PLATANO AJI LIMON GUAMA LULO MARANON CANA,31422
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON COSECHA DE PLATANO PINA MARANON GUAMA AJI LIMON LULO CANA,31423
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE COSECHA DE PINA PLATANO AJI GUAMA LIMON CANA,31424
Trabajando,,,,,Sí,MANTENIMIENTO DE REDES DE INTERNET,31425
Trabajando,,,,,Sí,MANTENIMIENTO  E INSTALACION DE REDES DE INTERNET,31426
Trabajando,,,,,Sí,ORGANIZAR Y LLEVAR LA DOCUMENTACION DE OFICINA,31427
Trabajando,,,,,No,ELABORACION DE DIVISIONES DE BANOS Y OFICINAS,31428
Trabajando,,,,,No,SEMBRAR Y VENDER YUCA Y PLATANO,31429
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON COSECHA DE PLATANO PINA AJI LIMONES GUAMA LULO MARANON CANA,31430
Trabajando,,,,,Sí,SERVICIO DE ACTIVIDADES SOCIALES,31431
Trabajando,,,,,Sí,SIEMBRA Y CULTIVA ARROZ Y PLATANO,31432
Trabajando,,,,,No,JORNALERO EN DIFERENTES FINCAS EN EPOCA DE COSECHA,31433
Trabajando,,,,,Sí,TRANSPORTE DE CARGA TERRESTRE,31434
Trabajando,,,,,No,CARGAR Y DESCARGAR NEVERAS Y CONGELADORES,31435
Trabajando,,,,,No,DIRIGIR OBRAS DE CONSTRUCCION EN GENERAL,31436
Trabajando,,,,,Sí,ATENCION A PACIENTES CON TRANSTORNO DEL SUENO,31437
Trabajando,,,,,No,PEGAR LADRILLOS PINTAR PAREDES PEGAR BALDOSAS,31438
Trabajando,,,,,No,AGRICULTOR SIEMBRA PINA Y GUAMA Y AJI TAMBIEN SIEMBRA YUCA BRAVA PARA HACER CASABE Y MANOCO PARA CONSUMO Y VENTA PESCADOR,31439
Trabajando,,,,,No,AGRICULTORA AYUDA A COSECHAR YUCA BRAVA PARA HACER CASABE Y MANOCO PARA CONSUMO Y VENTA,31440
Trabajando,,,,,No,CULTIVAR Y COMERCIALIZAR MAIZ,31441
Trabajando,,,,,Sí,SOLUCIONES GLOBALES PARA LA SALUD ANIMAL,31442
Trabajando,,,,,Sí,FABRICACION DE GRASAS Y ACEITES VEGETALES,31443
Trabajando,,,,,No,CONSTRUCCION DE  CASAS,31444
Trabajando,,,,,No,AGRICULTOR SIEMBRA AJI PINA CANA YUCA BRAVA PARA HACER CASABE Y MANOCO PARA VENTA Y CONSUMO,31445
Trabajando,,,,,No,VENTA DE MADERAS,31446
Trabajando,,,,,No,HACE TRABAJOS EN VIDRIO,31447
Trabajando,,,,,Sí,PROCESAMIENTO Y CONSERVACION DE PESCADOS CRUSTACEOS Y MOLUSCOS,31448
Trabajando,,,,,No,AGRICULTOR SIEMBRA AJI PINA CANA YUCA BRAVA PARA HACER CASABE Y MANOCO PARA VENTA Y CONSUMO TAMBIEN PESCA Y ASERRA MADERA,31449
Trabajando,,,,,No,REALIZAR LAS LABORES DE FABRICACION DE CASABE Y MANOCO PARA VENTA Y CONSUMO,31450
Trabajando,,,,,Sí,FABRICA DE PAPEL DE FIBRAS,31451
Oficios del hogar,Sí,,,,No,SERVICIO DE ASEO A UN SOLO HOGAR,31452
Estudiando,No,Sí,,,No,SERVICIO DE RESTAUTANTE,31453
Trabajando,,,,,Sí,TENEN PERSONAL DE VIGILANCIA DE ALMACENES BANCO FABRICAS,31454
Oficios del hogar,Sí,,,,No,SERVICIO DE COCINA EN VARIOS  HOGARES,31455
Oficios del hogar,Sí,,,,No,SERVICIOS DE MODISTERIA EN ROPA DE VESTIR,31456
Trabajando,,,,,No,COMERCIO AL POR MENOR DE AGUA,31457
Trabajando,,,,,No,SERVICIOS DE CARPINTERIA EN GANADERIA,31458
Trabajando,,,,,No,VENTA DE GRANOS Y MECATO AL POR MENOR,31459
Trabajando,,,,,Sí,CULTIVAR Y VENDER FLORES,31460
Trabajando,,,,,No,VENTA DE MANOCO Y CASABE AL POR MENOR,31461
Trabajando,,,,,No,LIMPIEZA DE POTREROS ARREGLO DE CERCAS,31462
Trabajando,,,,,No,CORTAR CABELLO A CABALLEROS,31463
Trabajando,,,,,No,PARA SU AUTOCONSUMO Y VENTA DE MANOCO CASABE Y ALMIDON AL POR MENOR,31464
Trabajando,,,,,No,FINCA GANADERA DE CRIA DE GANADO BOVINO PARA LA PRODUCCION  DE LECHE,31465
Trabajando,,,,,Sí,VIGILANCIA CUSTODIA DE LAS PERSONAS PRIVADAS DE LA LIBERTAD,31466
Trabajando,,,,,No,AUTOCONSUMO Y VENTA DE MANOCO CASABE AL POR MENOR,31467
Trabajando,,,,,Ya es pensionado,TRANSPORTE PUBLICO LOCAL DE PASAJEROS,31468
Trabajando,,,,,Sí,BRINDAR SERVICIOS DE SALUD DE ATENCION PRIMARIA,31469
Trabajando,,,,,Sí,SERVICIOS EXEQUIALES,31470
Oficios del hogar,Sí,,,,No,SERVICIO DE ASEO A OTRAS VIVIENDAS,31471
Trabajando,,,,,No,PRESTA EL SERVICIO DE TRANSPORTE EN MOTOCARRO,31472
Trabajando,,,,,No,PRESTA EL SERVICIO DE ALIMENTACION,31473
Trabajando,,,,,No,SIEMBRA DE MAIZ Y FRIJOL,31474
Trabajando,,,,,No,FINCA AGRICOLA CULTIVO DE MARACUYA,31475
Trabajando,,,,,Sí,ASESORIA CONTABLE Y TRIBUTARIA,31476
Trabajando,,,,,No,VENTA DE MANOCO CASABE AL POR MENOR,31477
Trabajando,,,,,No,VENTA Y ARREGLOS EN ARTICULOS DE CUERO,31478
Trabajando,,,,,No,VENTA Y ELABORACION DE ALMUERZOS,31479
Trabajando,,,,,No,VENTA DE PLATANO YUCA PINA GUAMA AL POR MENOR,31480
Trabajando,,,,,No,COMPRA Y VENTA DE ARTICULOS BELLEZA DE REVISTAS,31481
Trabajando,,,,,Sí,COMPRA Y VENTA DE ARTICULOS FERRETEROS,31482
Oficios del hogar,Sí,,,,No,OFICIOS DOMESTICOS,31483
Otra actividad ¿cuál?,Sí,,,,No,SEGURIDAD Y ORDEN NACIONAL,31484
Trabajando,,,,,No,SERVICIO DE INYECTAR GANADO INSEMINAR ATENDER PARTOS DE VACAS,31485
Trabajando,,,,,Sí,FABRICACION Y VENTA DE MUEBLES Y ELECTRODOMESTICOS AL POR MENOR,31486
Trabajando,,,,,No,VENTA DE  MANOCO CASABE Y ALMIDON AL POR MENOR,31487
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE COSECHA DE AJI PLATANO PINA LULO GUAMA CANA TEMARE,31488
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON Y COSECHA DE PINA PLATANO AJI GUAMA TEMARE CANA LULO,31489
Trabajando,,,,,No,VENTA DE MANOCO CASABE ALMIDON AL POR MENOR,31490
Trabajando,,,,,No,VENTA DE ARTICULOS VELAS INSIENCIOS Y  PERFUMES,31491
Trabajando,,,,,No,REPELLAR PAREDES Y PEGAR BALDOSAS,31492
Trabajando,,,,,No,PREPARAR TINTOS,31493
Trabajando,,,,,Sí,FABRICACION DE SABANAS Y TOALLAS PARA EL HOGAR Y HOTELERIA,31494
Trabajando,,,,,No,SERVICIO DE RECOLECTAR NARANJA Y PLATANO,31495
Trabajando,,,,,No,COMERCIO DE ARTICULOS DE LA CANASTA FAMILIAR AL DETAL,31496
Trabajando,,,,,Sí,SERVICIOS DOMICILIARIOS DE ENERGIA ELECTRICA,31497
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE COSECHA DE PINA AJI TEMARE PLATANO LULO CANA GUAMA,31498
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON COSECHA DE PINA PLATANO AJI GUAMA TEMARE CANA LULO,31499
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE Y COSECHA DE PINA AJI PLATANO GUAMA MARANON CANA,31500
Trabajando,,,,,Sí,FABRICAR ETIQUETAS PARA ENVASES DE VIDRIO Y PLASTICO,31501
Trabajando,,,,,Sí,CULTIVAR FLORES PARA EXPORTAR,31502
Trabajando,,,,,No,COMERCIO AL POR MENOR DE YUCA Y MAIZ,31503
Trabajando,,,,,No,SERVICIO DE ARREGLO A PRENDAS DE VESTIR,31504
Trabajando,,,,,No,REPARACION Y VENTA AL DETAL  DE TODO TIPO DE RELOJERIA Y JOYERIA,31505
Trabajando,,,,,Sí,BRINDA SERVICIOS CLINICOS SERVICIOS PREVENTIVOS DE ENFERMEDADES SUMINISTRO DE MEDICAMENTOS  VACUNAS Y OTROS PRODUCTOS,31506
Estudiando,No,No,Sí,,No,ACTIVIDADES DE CENTROS DE LLAMADAS CALL CENTER,31507
Trabajando,,,,,No,ACTIVIDADES DE CENTROS DE LLAMADAS CALL CENTER,31508
Trabajando,,,,,No,PRESTACION DE SERVICIO TURISTICO PINTURAS RUPESTRES,31509
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE COSECHA DE PINA PLATANO GUAMA AJI TEMARE MARANON,31510
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON COSECHA DE PINA PLATANO AJI TEMARE CANA LULO MARANON,31511
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE CASABE MANOCO COSECHA DE PINA PLATANO CANA GUAMA LIMON,31512
Trabajando,,,,,No,CRIA  Y VENTA ESPECIALIZADA DE GALLINA PONEDORAS,31513
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE COSECHA DE AJI PINA GUAMA PLATANO LIMON CANA TEMARE,31514
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON COSECHA DE AJI TEMARE PLATANO PINA CANA GUAMA LULO,31515
Trabajando,,,,,No,SEMBRAR YUCA PARA LA FABRICACION DE CASABE Y MANOCO PARA VENTA Y CONSUMO TAMBIEN SIEMBRA AJI Y CANA Y PESCA,31516
Trabajando,,,,,No,ELABORA CASABE Y MANOCO,31517
Oficios del hogar,No,Sí,,,No,CULTIVO DE PLATANO Y CITRICOS,31518
Trabajando,,,,,Sí,CULTIVO DE PLATANO Y CRITRI OS,31519
Trabajando,,,,,No,CULTIVO DE PLATANO Y CITRICOS,31520
Trabajando,,,,,No,AGRICULTOR SEMBRAR YUCA PARA LQ FABRICACION DE CASABE Y MANOCO PARA VENTA Y CONSUMO,31521
Trabajando,,,,,No,COSECHAR YUCA BRAVA AYUDAR A ELABORAR CASABE Y MANOCO PARA VENTA Y CONSUMO,31522
Trabajando,,,,,No,CASABE Y MANOCO PARA VENTA Y CONSUMO DE LA FAMILIA,31523
Trabajando,,,,,No,PRESTA SERVICIO DE LATONERIA Y PINTURA DE CARROCERIAS,31524
Trabajando,,,,,Sí,CENTRO NACIONAL DE CAPACITACION LABORAL OFRECIENDO PROGRAMAS CERTIFICADOS EN CALIDAD,31525
Trabajando,,,,,Sí,BRINDA CURSOS DE IDIOMAS EN LINEA MAXIMA FLEXIBILIDAD EN LOS HORARIOS,31526
Trabajando,,,,,No,HACER MOCHILAS ARTESANALES EN LANA,31527
Trabajando,,,,,Sí,SERVICIOS DE TRABAJOS DE ELECTRICIDAD,31528
Trabajando,,,,,No,ALQUILER Y VENTAS DE PROPIEDAD RAIZ,31529
Trabajando,,,,,No,SIEMBRA Y RECOLECCION DE CULTIVOS DE CAFE,31530
Trabajando,,,,,No,SIEMBRA Y RECOLECCIIN DE CULTIVOS DE BANANO Y CAFE,31531
Trabajando,,,,,No,VENTA DE LECHE QUESO Y GANADO BOVINO,31532
Trabajando,,,,,No,CULTIVO DE YUCA PLATANO Y CAFE,31533
Trabajando,,,,,Sí,FABRICACION Y VENTA DE ABONOS PARA EL AGRO,31534
Trabajando,,,,,Sí,CULTIVAR Y VERDER FLORES,31535
Trabajando,,,,,No,SERVICIO DE VENTA DE REFRESCOS JUGOS Y MINUTOS AMBULANTE,31536
Trabajando,,,,,No,PRESTA SERVICIO DE TRANSPORTE PUBLICO,31537
Trabajando,,,,,Sí,DIRIGIR ORGANIZAR Y PLANIFICAR EL SERVICIO EDUCATIVO,31538
Oficios del hogar,Sí,,,,No,CULTIVO Y COMERCIALIZACION DE MAIZ,31539
Trabajando,,,,,No,CULTIVAR Y VENDER COSECHA DE MAIZ,31540
Trabajando,,,,,No,PRODUCCION DE FRUTALES PROGRAMADOS,31541
Trabajando,,,,,No,PINTA ARREGLA Y REPARA VEHICULOS,31542
Oficios del hogar,Sí,,,,No,CORTAR CABELLO ARREGLAR UNAS,31543
Trabajando,,,,,No,PELUQUERIA Y AREGLO DE UNAS,31544
Estudiando,No,No,Sí,,No,FINCA GANADERA PRODUCTORA DE LECHE,31545
Estudiando,No,No,Sí,,,FINCA GANADERA PRODUCTORA DE LECHE,31546
Trabajando,,,,,No,SERVICIO DE CONSTRUCCION DE VIVIENDA,31547
Oficios del hogar,Sí,,,,No,SERVICIO DE EMPLEADA DOMESTICA,31548
Trabajando,,,,,No,VENTAL AL POR MENOR DE VERDURAS,31549
Trabajando,,,,,No,PRESTA SERVICIO DE REPARACION DE LLANTAS DE MOTOS,31550
Trabajando,,,,,Sí,ELABORACION DE ROPA PARA DAMA Y CABALLERO,31551
Trabajando,,,,,No,LIMPIEZA Y ARREGLO DE UNAS MANUCURE Y PEDICURE,31552
Trabajando,,,,,No,COMERCIALIZACION DE PRENDAS DE VESTIR PARA HOMBRE Y DAMA,31553
Trabajando,,,,,No,COMERCIALIZACION AL POR MENOR Y DETAL DE ROPA Y ZAPATOS,31554
Trabajando,,,,,No,SERVICIO DEVTRANSPORTE ESCOLAR,31555
Trabajando,,,,,No,SERVICIO TRANSPORTE ESCOLAR,31556
Trabajando,,,,,Sí,SREVICIO DE VIGILANCIA PRIVADA,31557
Trabajando,,,,,No,CULTIVOS DE CAFE Y CACAO,31558
Trabajando,,,,,No,SIEMBRA Y COSECHA DE PLATANO CACAO Y AGUACATE,31559
Estudiando,Sí,,,,No,SERVICIOS DE LIMPIEZA A MACHETE,31560
Trabajando,,,,,No,SERVICIO DE DESMONTAR MALEZA CON MACHETE  POR DIAS EN DIFERENTES FINCAS,31561
Trabajando,,,,,No,CULTIVAR COSECHAR,31562
Trabajando,,,,,No,CULTIVOS DE CAFE CACAO Y PLATANO,31563
Buscando trabajo,Sí,,,,No,SERVICIO DEL CUIDADO DE NINOS,31564
Trabajando,,,,,No,ELABORACION DE CARPAS PARA VEHICULOS,31565
Trabajando,,,,,No,ENSENANZA Y EDUCACION,31566
Trabajando,,,,,No,TRANSPORTE DE VIVERES,31567
Trabajando,,,,,Sí,COMPRAN Y VENDE LEGUMBRES AL POR MENOR,31568
Trabajando,,,,,No,CUIDA GANADO BOVINO CULTIVA YUCA PLATANO PARA EL CONSUMO,31569
Oficios del hogar,Sí,,,,No,PLANCHAR  COCINAR LAVAR LIMPIAR A VARIOS HOGARES,31570
Oficios del hogar,Sí,,,,No,CORTE Y SOLDADURA DE PIEZAS METALICAS,31571
Oficios del hogar,Sí,,,,No,PLANCHAR COCINAR LIMPIAR LAVAR A VARIOS A HOGARES,31572
Trabajando,,,,,No,ELABOROACION Y VENTA DE PANES AL DETAL,31573
Trabajando,,,,,No,BRINDA SEGURIDAD A CARROS Y MOTOS,31574
Trabajando,,,,,No,ELABORACION DE PAN Y PANECILLOS,31575
Trabajando,,,,,No,TRANSPORTE TERRESTRE INFORMAL DE PASAJEROS,31576
Trabajando,,,,,Sí,COMERCIO AL POR MENOR DE TODO TIPO DE CALZADO Y ARTICULOS EN CUERO,31577
Oficios del hogar,Sí,,,,No,COMERCIO AL POR MENOR DE BEBIDAS ALCOHOLICAS,31578
Trabajando,,,,,Sí,FABRICACION Y VENTA DE VENTANAS Y PUERTAS EN ALUMINIO AL POR MAYOR Y AL DETAL,31579
Trabajando,,,,,Sí,VELAR POR LA LEGALIDAD DE LOS INGRESOS GASTOS E INTEGRIDAD DEL PATRIMONIO ESTATAL,31580
Trabajando,,,,,Sí,CUIDADO PROMOCION  PREVENCION Y CONTROL DEL SECTOR SALUD DE UNA POBLACION,31581
Trabajando,,,,,No,CRIA DE GANADO BOVINO PARA DOBLE PROPOSITO LECHE CRIA Y CEBA,31582
Trabajando,,,,,No,VENTA DE GANADO BOVINO Y LECHE,31583
Oficios del hogar,Sí,,,,No,SIEMBRA Y COSECHA DE BANANO,31584
Trabajando,,,,,No,OFICIOS VARIOS EN CULTIVOS DE MANDARINA,31585
Trabajando,,,,,No,CREACION Y DISENO DE IMAGENES LOGOS Y TARJETAS,31586
Trabajando,,,,,Sí,COMERCIALIZACION DE INSUMOS AGRICOLAS,31587
Trabajando,,,,,No,SERVICIO DE FUMIGACION CON BOMBA MANUAL,31588
Trabajando,,,,,No,ASEO DOMICILIARIO,31589
Trabajando,,,,,No,EDUCACION LUDICA EDUCATIVA,31590
Trabajando,,,,,No,SIEMBRAN Y COSECHA DE CACAO Y CAFE,31591
Trabajando,,,,,No,GANADERIA ORDENO Y CEVA DE GANADO,31592
Trabajando,,,,,No,SERVICIO TURISRICO PINTURAS RUPESTRES DE CERRO AZUL,31593
Trabajando,,,,,Sí,CUSTODIA Y VIGILANCIA DE PERSONAS PRIVADAS DE LA LIBERTAD,31594
Trabajando,,,,,Sí,PRESTA SERVICIO DE RECOLECCION DE BASURAS,31595
Trabajando,,,,,No,MANTENIMIENTO Y REPARACION DE VEHICULOS MOTORIZADOS,31596
Trabajando,,,,,No,LIMPIAR AYUDAR EN DIFERENTES OFICIOS,31597
Trabajando,,,,,Sí,VELAR POR LA PROTECCION DEL PATRIMONIO ARQUEOLOGICO DEL PAIS,31598
Trabajando,,,,,No,ENTIDAD SIN ANIMO DE LUCRO ASOCIACION DE TURISMO COMUNITARIO,31599
Trabajando,,,,,No,SERVICIO DE LAVAR Y PLANCHAR POR DIAS EN DIFERENTES HOGARES,31600
Trabajando,,,,,No,PREPARACION Y VENTA DE TAMALES DE ARROZ,31601
Trabajando,,,,,Sí,SERVICIO PUBLICO DOMICILIARIO DE ASEO BARRIDO Y LIMPIEZA DE VIAS CORTE DE CESPED Y PODA DE ARBOLES,31602
Trabajando,,,,,Sí,CONFECCION Y VENTA DE ARTICULOS TEXTIL,31603
Trabajando,,,,,No,SIEMBRA Y COSECHA DE CAFE PLATANO Y CACAO,31604
Trabajando,,,,,No,VENTA DE PECES AL POR MAYOR Y AL POR MENOR,31605
Trabajando,,,,,Sí,SERVICIO EDUCACION BASICA PRIMARIA,31606
Oficios del hogar,Sí,,,,No,VENTA DE PRODUCTOS NATURALES PARA LA SALUD,31607
Trabajando,,,,,No,COMERCIO DE ROPA Y ZAPATOS AL DETAL,31608
Trabajando,,,,,No,CONSTRUCCION DE CASAS APARTAMENTOS CONSTRUCCIONES LOCATIVAS,31609
Trabajando,,,,,No,SIEMBRA DE CAUCHO Y TURISMO,31610
Trabajando,,,,,Sí,APOYO LOGISTICO  Y OPERATIVO PARA EJECUTAR ACTIVIDADES EN BODEGAS DE ALMACENAMIENTO Y PUNTOS DE VENTA,31611
Oficios del hogar,Sí,,,,No,PREPARACION Y VENTA DE COMIDA TIPICA TRADICIONAL SANTANDEREANA,31612
Trabajando,,,,,Sí,ESPECIALISTAS EN PROCESOS DE GESTION ORGANIZACION DIGITALIZACION Y CUSTODIA DOCUMENTAL,31613
Trabajando,,,,,No,HOSPEDAJE DE PERSONAS POR DIAS,31614
Trabajando,,,,,No,PRODUCCION DE PAN EN UNA PANADERIA,31615
Trabajando,,,,,No,ASEO Y LIMPIEZA DE CASAS,31616
Trabajando,,,,,No,ATENCION AL PUBLICO EN VENTA DE VIVERES AL POR MENOR,31617
Trabajando,,,,,Sí,ELABORACION Y VENTA DE PAN DE BONO TORTAS,31618
Trabajando,,,,,No,PREPARACION Y VENTA DE PANES,31619
Trabajando,,,,,No,VENTA DE BOLSAS PLASTICAS Y SACOS,31620
Trabajando,,,,,Sí,TRANSPORTE INDIVIDUAL DE PERSONAS DE UN LUGAR A OTRO EN TAXI,31621
Trabajando,,,,,Sí,ACTIVIDADES DE EMPRESAS DE SEGURIDAD PRIVADA,31622
Trabajando,,,,,No,FABRICANTES DE SOFTWARE EMPRESARIAL,31623
Trabajando,,,,,No,FINCA GANADERA CRIA DE GANADO BOVINO PARA LA VENTA,31624
Trabajando,,,,,No,OFICIOS AGROPECUARIOS COMO LIMPIA DE POTREROS Y CULTIVOS CON GUADANA  BOMBA DE ESPALDA  O MACHETE,31625
Trabajando,,,,,No,SIEMBRA TOMATE PIMENTON APIO LECHUGA,31626
Trabajando,,,,,No,SIEMBRA DE PIMENTON LECHUGA TOMATE APIO,31627
Trabajando,,,,,Sí,DISTRIBUCION DE PRODUCTOS DE ALIMENTACION Y MANUFACTURA DE BIENES DE CONSUMO PERECEDEROS,31628
Trabajando,,,,,Sí,CARGUE Y DESCARGUE DE MERCANCIAS EN MULAS,31629
Trabajando,,,,,No,BRINDA SERVICIOS DE SALUD AL DEPARTAMENTO,31630
Trabajando,,,,,No,CONSTRICCION,31631
Trabajando,,,,,No,VENTA DE ARTICULOS DE TALABARTERIA Y PAPELERIA,31632
Trabajando,,,,,No,PRESTAR EL SERVICIO EN HOSPEDAJE ALIMENTACION Y TURISMO A VISITITANTES EN LA REGION,31633
Estudiando,Sí,,,,No,CORTE DE CABELLO DE DAMA Y CABALLERO,31634
Trabajando,,,,,Sí,VENTA DE PRODUCTOS ALIMENTICIOS Y OTROS PARA EL HOGAR,31635
Trabajando,,,,,No,PRESTA SERVICIO DE ENSENANZA A PRIMERA INFANCIA Y PRIMARIA,31636
Trabajando,,,,,Sí,FABRICACIO DE MUEBLES EN MADERA CAMAS ARMARIOS,31637
Trabajando,,,,,No,SERVICIO DE REPARACION DE COMPUTADORES Y CAMARAS,31638
Trabajando,,,,,No,MODISTERIA EN ROPA DE MUJER COMO CAMISAS PANTALONES,31639
Trabajando,,,,,No,COMPRA Y VENTA AL POR DETAL DE CONFITES,31640
Trabajando,,,,,No,FABRICACION DE CALZADO DE CUERO Y SINTETICO UNISEXO,31641
Trabajando,,,,,No,CONSTRUCCION REPARACION Y REMODELACION DE VIVIENDAS,31642
Trabajando,,,,,No,ARTESANIAS FABRICADAS A MANO,31643
Trabajando,,,,,No,SIEMBRA Y RECOLECCION DE CULTIVOS DE PLATANO Y CAFE,31644
Trabajando,,,,,No,CULTIVO DE HABICHUELA PIMIENTON LECHUGA,31645
Oficios del hogar,No,No,Sí,,No,CULTIVOS DE PIMIENTO LECHUGA HABICHUELA,31646
Buscando trabajo,No,Sí,,,No,MANTEMIENTO DE MAQUINARIAS INDUSTRIAL MOTORES DE  FINCA   COMO TRACTO CAMION  SEMBRADORAS,31647
Trabajando,,,,,Sí,EDUCACION FORMAL PREESCOLAR PRIMARIA Y SECUNDARIA,31648
Trabajando,,,,,No,FABRICACION DE PAPEL CARTON ONDULADO EMPAQUES Y DE EMBALAJES DE PAPEL Y CARTON,31649
Trabajando,,,,,Sí,ACTIVIDADES DE CENTRO DE LLAMADAS CALL CENTER,31650
Trabajando,,,,,Sí,SERVICIO Y PROGRAMCION DE REDES INALAMBRICAS,31651
Trabajando,,,,,No,ANTENCION PREVENTIVA DE ANIMALES DE CORRAL,31652
Trabajando,,,,,Sí,CULTIVO DE LIMON,31653
Trabajando,,,,,Sí,COMERCIALIZACION DE ACEITE DE COCINA,31654
Trabajando,,,,,Sí,CORTE DE CABELLO MANICURE Y PEDICURE EN UN SALON DE BELLEZA,31655
Trabajando,,,,,No,FABRICACION  DE CALZADO PARA DAMA CABALLEROS Y NINOS,31656
Trabajando,,,,,Sí,COMPRA Y VENTA DEL GRANO DE CAFE,31657
Trabajando,,,,,Sí,SUPERACION DE LA POBREZA EN EL PAIS,31658
Trabajando,,,,,No,COMPRA Y VENTA AL POR MENOR  DE ROPA Y CALZADO PARA DAMAS,31659
Trabajando,,,,,No,FINCA GANADERA Y CRIA  DE  GANADO BOVINO  PARA LA VENTA,31660
Trabajando,,,,,Sí,ACTIVIDADES DE ASOCIACIONES RELIGIOSAS,31661
Trabajando,,,,,Sí,ACTIVIDADES DE ASOCIASIONES RELIGIOSAS,31662
Trabajando,,,,,Sí,DIRIGIR Y ORIENTAR EL SISTEMA DE VIGILANCIA EN SALUD PUBLICA,31663
Trabajando,,,,,No,ARREGLO DE CARROS EN LAMINA Y PINTURA,31664
Trabajando,,,,,Sí,SERVICIOS DE PUBLICIDAD Y PROMOCION GRAFICA,31665
Trabajando,,,,,No,ELABORACION Y VENTA DE AREPAS PRECOCIDAS DE MAIZ AL POR MENOR,31666
Trabajando,,,,,Sí,ACTIVIDAD DE VIGILANCIA PRIVADA,31667
Trabajando,,,,,No,COMPRA Y VENTA MINORISTA DE VERDURAS Y HORTALIZAS,31668
Trabajando,,,,,Sí,VENTA DE REDES INTERNET,31669
Trabajando,,,,,No,VENTA DE INTERNET,31670
Estudiando,No,No,Sí,,No,VENTA DE REDES EN COMUNICACIONES,31671
Oficios del hogar,Sí,,,,No,ELABORACION Y VENTA AL POR MENOR DE REFRESCOS CONGELADOS Y BEBIDAS DE ARROZ CHICHA,31672
Trabajando,,,,,Sí,CONSULTORIA DISENO Y CONSTRUCCION ESPECIALISTAS EN ARQUITECTURA COMERCIAL,31673
